price_m2,price,m2,location
80887元/㎡,350万,43.27㎡,"柿子湾小区
徐家汇 宜山路220弄、宜山路250弄"
103873元/㎡,1180万,113.6㎡,"鑫国家园
徐家汇 零陵路777弄"
79232元/㎡,900万,113.59㎡,"金诚花园
徐家汇 中山西路2099弄"
93940元/㎡,1400万,149.03㎡,"徐汇御苑
徐家汇 东安路251弄"
102033元/㎡,1400万,137.21㎡,"虹桥乐庭
徐家汇 虹桥路666弄5-18号"
86035元/㎡,1600万,185.97㎡,"青之杰花园
徐家汇 虹桥路178弄、宜山路55号"
88905元/㎡,488万,54.89㎡,"裕德路66弄小区
徐家汇 裕德路66弄"
84144元/㎡,899万,106.84㎡,"凯旋花苑
徐家汇 中漕路111号"
99375元/㎡,1050万,105.66㎡,"虹桥乐庭
徐家汇 虹桥路666弄5-18号"
92016元/㎡,370万,40.21㎡,"徐虹路112弄小区
徐家汇 徐虹路112弄"
79677元/㎡,950万,119.23㎡,"凯旋花苑
徐家汇 中漕路111号"
88053元/㎡,370万,42.02㎡,"南丹小区
徐家汇 南丹小区"
96087元/㎡,560万,58.28㎡,"凯旋一村
徐家汇 凯旋一村1-37号"
76773元/㎡,790万,102.9㎡,"庆余公寓
徐家汇 徐虹北路22弄"
95882元/㎡,850万,88.65㎡,"汇贤雅居
徐家汇 南丹路368弄"
91245元/㎡,345万,37.81㎡,"凯旋一村
徐家汇 凯旋一村1-37号"
75018元/㎡,1200万,159.96㎡,"上影广场公寓
徐家汇 零陵路791弄3号楼"
86119元/㎡,680万,78.96㎡,"交大公寓
徐家汇 虹桥路550号"
97519元/㎡,1160万,118.95㎡,"阳光名邸
徐家汇 凯旋路1688弄"
88698元/㎡,1550万,174.75㎡,"永新花苑
徐家汇 肇嘉浜路1029弄、辛耕路100弄"
86995元/㎡,980万,112.65㎡,"庆余公寓
徐家汇 徐虹北路22弄"
57520元/㎡,400万,69.54㎡,"吴东小区
徐家汇 吴中东路500弄"
62489元/㎡,750万,120.02㎡,"玉兰花苑
徐家汇 蒲汇塘路50弄"
87642元/㎡,300万,34.23㎡,"柿子湾小区
徐家汇 宜山路220弄、宜山路250弄"
76049元/㎡,850万,111.77㎡,"交大公寓
徐家汇 虹桥路550号"
89397元/㎡,1070万,119.69㎡,"鑫城苑
徐家汇 淮海西路343号"
99509元/㎡,1500万,150.74㎡,"东方曼哈顿
徐家汇 虹桥路168号"
77081元/㎡,600万,77.84㎡,"玉兰花苑
徐家汇 蒲汇塘路50弄"
97044元/㎡,1100万,113.35㎡,"徐家汇景园
徐家汇 徐虹北路18弄"
86666元/㎡,520万,60㎡,"南宜花苑
徐家汇 宜山路408弄1-22号"
91560元/㎡,1150万,125.6㎡,"颐峰苑
徐家汇 汇站街126弄"
